name,description,category,status,failure_reason,year,source
Press,Collaboration|Messaging|Presentations|Publishing|Software,Collaboration|Messaging|Presentations|Publishing|Software,failed,,2011-06-01,crunchbase
Press Box,Games|Mobile|Sports,Games|Mobile|Sports,failed,,2015-06-07,crunchbase
Pressflip,Artificial Intelligence|Curated Web,Artificial Intelligence|Curated Web,failed,,2007-06-05,crunchbase
Presstler,Curated Web,Curated Web,failed,,2011-01-01,crunchbase
Preventes.fr,E-Commerce|Ticketing,E-Commerce|Ticketing,failed,,2007-10-01,crunchbase
PriceAdvice,Curated Web,Curated Web,failed,,,crunchbase
PriceTag,Local Businesses|Mobile|Search,Local Businesses|Mobile|Search,failed,,2011-02-12,crunchbase
PRIMIS Marketing Group,Marketing Automation,Marketing Automation,failed,,,crunchbase
Primocare,Health Care|Hospitals|Medical,Health Care|Hospitals|Medical,failed,,,crunchbase
Printechnologics,Hardware + Software,Hardware + Software,failed,,,crunchbase
Printed Piece,Curated Web|Design|Graphics|News|Printing|Promotional|Sales and Marketing|Web Design,Curated Web|Design|Graphics|News|Printing|Promotional|Sales and Marketing|Web Design,failed,,2010-07-20,crunchbase
PRINTool,3D Printing|Industrial Automation|New Product Development|Open Source,3D Printing|Industrial Automation|New Product Development|Open Source,failed,,2014-05-14,crunchbase
Prizzm,CRM|SaaS|Software,CRM|SaaS|Software,failed,,2011-07-29,crunchbase
Pro 3 Games,Game|Games|Social Media,Game|Games|Social Media,failed,,2010-11-16,crunchbase
Pro Options Marketing,Consulting|Outsourcing|Sales and Marketing|SEO,Consulting|Outsourcing|Sales and Marketing|SEO,failed,,2009-03-09,crunchbase
Proacta,Biotechnology,Biotechnology,failed,,2004-01-01,crunchbase
Probe Manufacturing,Hardware + Software,Hardware + Software,failed,,,crunchbase
Proberry,Bridging Online and Offline|Consumer Goods|Search,Bridging Online and Offline|Consumer Goods|Search,failed,,2008-01-01,crunchbase
Problemcity.com,Curated Web,Curated Web,failed,,2011-01-01,crunchbase
Proday,Apps|Internet|Mobile,Apps|Internet|Mobile,failed,,,crunchbase
ProGene Biomedical,Pharmaceuticals,Pharmaceuticals,failed,,,crunchbase
Prognos Health,Diagnostics|Health and Wellness|Medical,Diagnostics|Health and Wellness|Medical,failed,,2015-06-15,crunchbase
Progow Corp,Employment|Human Resources|Recruiting,Employment|Human Resources|Recruiting,failed,,2014-06-01,crunchbase
Programeter,Software|Testing,Software|Testing,failed,,2006-01-01,crunchbase
Progressive Book Club,Social Media,Social Media,failed,,2008-01-01,crunchbase
Prometei,Big Data|Cloud Computing|Financial Services|Machine Learning|Predictive Analytics|SaaS,Big Data|Cloud Computing|Financial Services|Machine Learning|Predictive Analytics|SaaS,failed,,2015-01-01,crunchbase
Promuc,Assisitive Technology|Biotechnology|Clean Technology|Nanotechnology,Assisitive Technology|Biotechnology|Clean Technology|Nanotechnology,failed,,,crunchbase
PROnoise,Entertainment|Games|Music,Entertainment|Games|Music,failed,,2011-11-01,crunchbase
Propagenix,Biotechnology|Life Sciences,Biotechnology|Life Sciences,failed,,,crunchbase
Propeller,Application Platforms|Curated Web|Mobile,Application Platforms|Curated Web|Mobile,failed,,2013-01-01,crunchbase
Properr,Property Management|Real Estate|Startups,Property Management|Real Estate|Startups,failed,,2015-01-01,crunchbase
PropertyPaths.com,Property Management|Real Estate|Transaction Processing,Property Management|Real Estate|Transaction Processing,failed,,2014-11-15,crunchbase
ProQuo,Curated Web,Curated Web,failed,,,crunchbase
Prosbee Inc.,Social Media,Social Media,failed,,2012-05-28,crunchbase
Prose,Creative|Social Media|Writers,Creative|Social Media|Writers,failed,,2014-03-10,crunchbase
ProspectHills,Information Technology|Startups,Information Technology|Startups,failed,,,crunchbase
ProtoExchange,Hardware|Marketplaces,Hardware|Marketplaces,failed,,2012-10-12,crunchbase
Prototypo,Creative|Design|Software,Creative|Design|Software,failed,,2013-09-01,crunchbase
ProVision Communications,Hardware + Software,Hardware + Software,failed,,,crunchbase
PRSM Healthcare,Biotechnology,Biotechnology,failed,,2011-01-01,crunchbase
Pruffi,Human Resources|Internet|Recruiting,Human Resources|Internet|Recruiting,failed,,2010-01-01,crunchbase
PRUSLAND SL,Advertising|Internet|Monetization|Public Relations|Social Media|Television|Video,Advertising|Internet|Monetization|Public Relations|Social Media|Television|Video,failed,,2010-10-14,crunchbase
psicofxp,Curated Web,Curated Web,failed,,2000-11-15,crunchbase
Psonar Limited,Entertainment|Music|Services,Entertainment|Music|Services,failed,,2008-06-03,crunchbase
Publer,Business Services|Networking|Social Media|Social Network Media,Business Services|Networking|Social Media|Social Network Media,failed,,,crunchbase
PublicEarth,Gps|Location Based Services|Travel,Gps|Location Based Services|Travel,failed,,2008-01-01,crunchbase
Public Media Works,Curated Web,Curated Web,failed,,,crunchbase
PublikDemand,Consumers|Curated Web|Enterprises|Lead Generation,Consumers|Curated Web|Enterprises|Lead Generation,failed,,2012-02-01,crunchbase
Publishd,Online Shopping|Sales and Marketing|Social Commerce,Online Shopping|Sales and Marketing|Social Commerce,failed,,2014-08-08,crunchbase
Puentes Company,Curated Web,Curated Web,failed,,2012-01-01,crunchbase
Puick,Computers|Hardware|Technology,Computers|Hardware|Technology,failed,,2015-01-01,crunchbase
Pulse Technologies,Hardware + Software,Hardware + Software,failed,,,crunchbase
Pult,Games|Television,Games|Television,failed,,2011-08-01,crunchbase
Pumant,Android|Design|Facebook Applications|Outsourcing|Software,Android|Design|Facebook Applications|Outsourcing|Software,failed,,2005-08-11,crunchbase
PUNC,Health and Wellness,Health and Wellness,failed,,,crunchbase
Punch Entertainment,Chat|Games|Messaging|Social Games|Virtual Worlds,Chat|Games|Messaging|Social Games|Virtual Worlds,failed,,2005-05-10,crunchbase
PuntoCome,Internet|Services|Specialty Foods,Internet|Services|Specialty Foods,failed,,,crunchbase
PupMunch,Internet of Things|Pets,Internet of Things|Pets,failed,,2014-05-15,crunchbase
PupPod Inc.,Computers|Design|Innovation Management,Computers|Design|Innovation Management,failed,,2015-01-01,crunchbase
Pure Klimaschutz,Clean Technology,Clean Technology,failed,,,crunchbase
PureEnergy Solutions,Hardware + Software,Hardware + Software,failed,,2005-01-01,crunchbase
PureVideo Networks,Curated Web,Curated Web,failed,,,crunchbase
PushButton Labs,Games|Social Games|Social Media|Software|Technology|Video Games,Games|Social Games|Social Media|Software|Technology|Video Games,failed,,2009-05-28,crunchbase
Pushkart,Consumers|Curated Web|Discounts|Shopping|Social Media,Consumers|Curated Web|Discounts|Shopping|Social Media,failed,,2010-01-03,crunchbase
PutPlace,Curated Web|Web Development,Curated Web|Web Development,failed,,2006-01-01,crunchbase
Q Medical Centers,Health and Wellness,Health and Wellness,failed,,2012-01-01,crunchbase
QBotix,Clean Technology|Hardware,Clean Technology|Hardware,failed,,2010-01-01,crunchbase
Qdration,Environmental Innovation,Environmental Innovation,failed,,,crunchbase
"Qingdao Diancang technology infomation Co,. Ltd",Outsourcing,Outsourcing,failed,,2014-11-24,crunchbase
Qitio,Hardware + Software|M2M|Security,Hardware + Software|M2M|Security,failed,,2009-11-01,crunchbase
Qiwi Post,Delivery|Postal and Courier Services|Transportation,Delivery|Postal and Courier Services|Transportation,failed,,,crunchbase
Qlusters,Data Centers|Data Integration|Software,Data Centers|Data Integration|Software,failed,,2001-01-01,crunchbase
QMCODES,CRM|Media|Mobile|Publishing|QR Codes|Sales and Marketing|Web CMS,CRM|Media|Mobile|Publishing|QR Codes|Sales and Marketing|Web CMS,failed,,2007-05-01,crunchbase
Qonceptual,Enterprise Software|Hardware + Software|Mobile|Wearables|Wireless,Enterprise Software|Hardware + Software|Mobile|Wearables|Wireless,failed,,2013-05-01,crunchbase
Qoof,E-Commerce|Video|Web Tools,E-Commerce|Video|Web Tools,failed,,2006-02-01,crunchbase
QponDirect,Curated Web,Curated Web,failed,,2006-12-01,crunchbase
QRcao,Contact Management|NFC|Software,Contact Management|NFC|Software,failed,,2011-08-01,crunchbase
QRGL,Loyalty Programs|Product Development Services|QR Codes,Loyalty Programs|Product Development Services|QR Codes,failed,,,crunchbase
QRxPharma,Biotechnology,Biotechnology,failed,,,crunchbase
Qu: Stay Curious,Analytics|Consumer Behavior|News,Analytics|Consumer Behavior|News,failed,,2015-03-01,crunchbase
Quaero.org,Digital Media|Search,Digital Media|Search,failed,,2006-02-01,crunchbase
Quanlight,Semiconductors,Semiconductors,failed,,,crunchbase
Quant the News,Finance|FinTech|News,Finance|FinTech|News,failed,,2007-01-01,crunchbase
Quantiva,Services|Transaction Processing|Web Hosting,Services|Transaction Processing|Web Hosting,failed,,,crunchbase
Quantuvis,Health Care Information Technology,Health Care Information Technology,failed,,2013-01-01,crunchbase
Quartics,Hardware + Software,Hardware + Software,failed,,2003-01-01,crunchbase
Qubrit,Curated Web|Social Media,Curated Web|Social Media,failed,,2010-04-16,crunchbase
Qubulus,Public Transportation,Public Transportation,failed,,2010-01-01,crunchbase
Queerfeed Media,Curated Web|Location Based Services|Mobile|Online Dating,Curated Web|Location Based Services|Mobile|Online Dating,failed,,2010-06-20,crunchbase
Queplix,Enterprise Software,Enterprise Software,failed,,2004-01-01,crunchbase
Query Hunter,Analytics|Cloud Computing|Data Mining|Enterprise Software|Geospatial|Marketplaces|Visualization,Analytics|Cloud Computing|Data Mining|Enterprise Software|Geospatial|Marketplaces|Visualization,failed,,2011-12-01,crunchbase
Questbox,Recruiting|Services|Technology,Recruiting|Services|Technology,failed,,2014-11-01,crunchbase
Questli,Apps|Games|Gamification,Apps|Games|Gamification,failed,,2011-04-01,crunchbase
Quewey,Curated Web|Professional Networking,Curated Web|Professional Networking,failed,,,crunchbase
QuIC Financial Technologies,Finance|FinTech,Finance|FinTech,failed,,1998-01-01,crunchbase
QuickMedx,Health Diagnostics|Medical|Services,Health Diagnostics|Medical|Services,failed,,,crunchbase
Quil,Communities|Medical|Services,Communities|Medical|Services,failed,,2015-02-01,crunchbase
Quincy Apparel,Fashion|Lifestyle|Women,Fashion|Lifestyle|Women,failed,,,crunchbase
Quintessence Biosciences,Biotechnology,Biotechnology,failed,,2000-01-01,crunchbase
"Quipley, Inc.",Coupons|Discounts|Enterprise Application,Coupons|Discounts|Enterprise Application,failed,,2014-11-01,crunchbase
Quirky,Crowdsourcing|E-Commerce,Crowdsourcing|E-Commerce,failed,,2009-03-01,crunchbase
Quokky,Document Management|Services,Document Management|Services,failed,,2013-05-01,crunchbase
Quote.Digital,Freelancers|Outsourcing|Services,Freelancers|Outsourcing|Services,failed,,2015-07-26,crunchbase
Quotify Technology,Enterprise Software,Enterprise Software,failed,,2008-01-01,crunchbase
Qwaq,Enterprise Software,Enterprise Software,failed,,,crunchbase
R3dway,E-Commerce|Online Rental|Services,E-Commerce|Online Rental|Services,failed,,2015-05-11,crunchbase
Race Cloud,Automotive|Services|Technology,Automotive|Services|Technology,failed,,,crunchbase
"RackN, Inc.",Application Platforms|Data Center Automation|Data Centers,Application Platforms|Data Center Automation|Data Centers,failed,,2014-12-01,crunchbase
Rackup,Auctions|Discounts|E-Commerce|Gift Card|Mobile,Auctions|Discounts|E-Commerce|Gift Card|Mobile,failed,,2008-01-01,crunchbase
Radiate Inc,Information Technology|Location Based Services|Social Network Media,Information Technology|Location Based Services|Social Network Media,failed,,,crunchbase
Radiation Watch,Technology|Watch|Wearables,Technology|Watch|Wearables,failed,,,crunchbase
RadioFrame,Mobile|Wireless,Mobile|Wireless,failed,,,crunchbase
"Radiological Assistance, Consulting and Engineering",Clean Technology|Services|Waste Management,Clean Technology|Services|Waste Management,failed,,,crunchbase
RADLIVE,Hardware + Software,Hardware + Software,failed,,2005-01-01,crunchbase
Radnor Holdings,Manufacturing|Product Search|Services,Manufacturing|Product Search|Services,failed,,,crunchbase
Raffstar,Curated Web,Curated Web,failed,,2008-08-01,crunchbase
Raidarrr,Apps|Mobile|Search,Apps|Mobile|Search,failed,,2012-01-01,crunchbase
RAIDCore,Design|Enterprises|Storage,Design|Enterprises|Storage,failed,,2000-01-01,crunchbase
Raise Partner,Analytics|Finance Technology|FinTech|Risk Management,Analytics|Finance Technology|FinTech|Risk Management,failed,,2001-07-04,crunchbase
RampedMedia,Curated Web,Curated Web,failed,,2006-02-01,crunchbase
Ranberry,Technology|Telecommunications|Wireless,Technology|Telecommunications|Wireless,failed,,,crunchbase
Random Array Ltd,Marketplaces|Online Rental|Service Providers,Marketplaces|Online Rental|Service Providers,failed,,2014-07-01,crunchbase
R&V,Advertising,Advertising,failed,,,crunchbase
Range Fuels,Clean Technology,Clean Technology,failed,,,crunchbase
RANK PRODUCTIONS,Career Management|Music|Promotional,Career Management|Music|Promotional,failed,,2009-10-13,crunchbase
Ranomics,Databases|Genetic Testing|Health Care,Databases|Genetic Testing|Health Care,failed,,,crunchbase
Rapid5 Networks,Internet|Internet of Things|Telecommunications,Internet|Internet of Things|Telecommunications,failed,,,crunchbase
Rapport,Hardware + Software,Hardware + Software,failed,,2001-01-01,crunchbase
Raser Technologies,Clean Technology,Clean Technology,failed,,2003-01-01,crunchbase
Rasyonel R&D,Embedded Hardware and Software|Internet of Things|Recycling|Web Development,Embedded Hardware and Software|Internet of Things|Recycling|Web Development,failed,,2013-03-20,crunchbase
RatePoint,Customer Service|Email Marketing|Reputation|Reviews and Recommendations|Small and Medium Businesses|Software|Surveys|Web Hosting,Customer Service|Email Marketing|Reputation|Reviews and Recommendations|Small and Medium Businesses|Software|Surveys|Web Hosting,failed,,2006-09-01,crunchbase
Rave Reviews,Promotional|Reviews and Recommendations|Search,Promotional|Reviews and Recommendations|Search,failed,,2014-05-05,crunchbase
Ravn,Adventure Travel|Curated Web|Marketplaces|Online Scheduling,Adventure Travel|Curated Web|Marketplaces|Online Scheduling,failed,,2011-01-01,crunchbase
RawData,Advertising|Analytics|Consumers|Mobile|Music|Sales and Marketing|Surveys|Telecommunications|Television,Advertising|Analytics|Consumers|Mobile|Music|Sales and Marketing|Surveys|Telecommunications|Television,failed,,2009-03-01,crunchbase
Rawxies,Food Processing,Food Processing,failed,,2011-01-01,crunchbase
RBN,Design|Services|Transportation,Design|Services|Transportation,failed,,,crunchbase
RCS TecHno,Digital Media|Internet|Services,Digital Media|Internet|Services,failed,,2014-09-13,crunchbase
RE3W,Internet|Investment Management,Internet|Investment Management,failed,,,crunchbase
readness.com,Blogging Platforms|Curated Web|News|Social Media|Software,Blogging Platforms|Curated Web|News|Social Media|Software,failed,,2009-05-16,crunchbase
real5D,3D|Architecture|Commercial Real Estate|Property Management|Real Estate,3D|Architecture|Commercial Real Estate|Property Management|Real Estate,failed,,,crunchbase
Realine Technology,B2B|Logistics|Software|Technology,B2B|Logistics|Software|Technology,failed,,2015-05-29,crunchbase
Reality Crowd TV Media Corporation,Crowdfunding|Events|Incubators|Media|Social Media,Crowdfunding|Events|Incubators|Media|Social Media,failed,,2013-12-24,crunchbase
Reasult,Real Estate|Software,Real Estate|Software,failed,,,crunchbase
Reble,Music|Software|Venture Capital,Music|Software|Venture Capital,failed,,,crunchbase
RED INNOVA,Enterprise Software|Games|Internet,Enterprise Software|Games|Internet,failed,,2008-01-01,crunchbase
Red Seraphim,Entrepreneur|Games|Mobile Games|Social Games,Entrepreneur|Games|Mobile Games|Social Games,failed,,,crunchbase
Redeemr,Social Media,Social Media,failed,,2011-02-01,crunchbase
redesign mobile,Finance|Interface Design|Marketplaces,Finance|Interface Design|Marketplaces,failed,,,crunchbase
Reelation,Online Dating|Private Social Networking|Social Media|Trusted Networks,Online Dating|Private Social Networking|Social Media|Trusted Networks,failed,,2011-02-01,crunchbase
ReelBig,Gambling|Mobile Games,Gambling|Mobile Games,failed,,2013-01-01,crunchbase
Referly,Curated Web|Incentives|Social Network Media,Curated Web|Incentives|Social Network Media,failed,,2012-04-17,crunchbase
RefferedAgent.com,Real Estate,Real Estate,failed,,2002-04-01,crunchbase
Reffpedia,Search|Web Tools,Search|Web Tools,failed,,2010-10-13,crunchbase
Refocus Group,Development Platforms|Health Care|Medical Devices,Development Platforms|Health Care|Medical Devices,failed,,,crunchbase
Refurbthat Limited,Computers|Discounts|Services,Computers|Discounts|Services,failed,,2007-11-30,crunchbase
Regen,Clean Technology,Clean Technology,failed,,2008-01-01,crunchbase
RegistryLove,Curated Web|Registrars,Curated Web|Registrars,failed,,,crunchbase
Rehabtics,Fitness|Health and Wellness|Startups,Fitness|Health and Wellness|Startups,failed,,2012-10-17,crunchbase
Relationship Analytics,Analytics|Enterprises,Analytics|Enterprises,failed,,2012-08-01,crunchbase
Relead,Analytics|B2B|Lead Generation|Real Time,Analytics|B2B|Lead Generation|Real Time,failed,,2011-09-01,crunchbase
relocality,Big Data|Curated Web|Location Based Services|Real Estate,Big Data|Curated Web|Location Based Services|Real Estate,failed,,2010-04-23,crunchbase
Relola,Real Estate|Services|Social Media,Real Estate|Services|Social Media,failed,,2014-11-15,crunchbase
Rembrandt Productions,Digital Media,Digital Media,failed,,2013-12-01,crunchbase
REMOTV,File Sharing|Media|Mobile|Music|Networking|Photography|Social Media|Video|Video Streaming,File Sharing|Media|Mobile|Music|Networking|Photography|Social Media|Video|Video Streaming,failed,,2007-02-10,crunchbase
Renkoo,Chat|Events|Facebook Applications|Social Media,Chat|Events|Facebook Applications|Social Media,failed,,,crunchbase
Renovar,Biotechnology,Biotechnology,failed,,1999-01-01,crunchbase
Renovo,Biotechnology,Biotechnology,failed,,,crunchbase
rent2cash.com,Application Platforms|Online Rental|Web Hosting,Application Platforms|Online Rental|Web Hosting,failed,,2914-01-01,crunchbase
RentColumn Communications,Advertising|Classifieds|Collaborative Consumption|File Sharing|Online Rental|Peer-to-Peer,Advertising|Classifieds|Collaborative Consumption|File Sharing|Online Rental|Peer-to-Peer,failed,,2012-09-01,crunchbase
Rentelligence,Apps|Online Rental|Real Estate|Rental Housing,Apps|Online Rental|Real Estate|Rental Housing,failed,,2011-09-26,crunchbase
RentNegotiator.com,Real Estate,Real Estate,failed,,2009-07-01,crunchbase
Repka.com,E-Commerce Platforms|Fashion|Online Shopping,E-Commerce Platforms|Fashion|Online Shopping,failed,,2012-04-01,crunchbase
Rerecipe,Curated Web|Networking|Recipes,Curated Web|Networking|Recipes,failed,,2010-03-10,crunchbase
ReserveMyHome,Travel|Vacation Rentals,Travel|Vacation Rentals,failed,,2007-01-01,crunchbase
Resolute Solutions Corporation,Business Services|Consulting|Technology,Business Services|Consulting|Technology,failed,,,crunchbase
Resonant Vibes,Curated Web,Curated Web,failed,,2004-01-01,crunchbase
Resonext Communications,Semiconductors|Telecommunications|Wireless,Semiconductors|Telecommunications|Wireless,failed,,,crunchbase
Respirics,Biotechnology,Biotechnology,failed,,,crunchbase
Response Networks,Business Services|Communications Infrastructure|Service Providers,Business Services|Communications Infrastructure|Service Providers,failed,,,crunchbase
Responsible City,Loyalty Programs|Social Media|Web Hosting,Loyalty Programs|Social Media|Web Hosting,failed,,2011-12-01,crunchbase
Responsight,Intelligent Systems|Network Security|Security,Intelligent Systems|Network Security|Security,failed,,,crunchbase
RestaurantTrade,Hospitality|Service Providers|Web Development,Hospitality|Service Providers|Web Development,failed,,,crunchbase
RestoMesto,Coupons|Curated Web,Coupons|Curated Web,failed,,2011-12-01,crunchbase
Retail Labs Pvt. Ltd,Consumer Goods|E-Commerce|Services,Consumer Goods|E-Commerce|Services,failed,,2014-11-01,crunchbase
retickr,Curated Web|News|Social Media,Curated Web|News|Social Media,failed,,2011-03-01,crunchbase
Revalesio,Biotechnology|Health and Wellness|Health Care Information Technology,Biotechnology|Health and Wellness|Health Care Information Technology,failed,,2000-01-01,crunchbase
Revetto,Brand Marketing|Content Syndication|Curated Web|Software,Brand Marketing|Content Syndication|Curated Web|Software,failed,,2009-01-01,crunchbase
Reviewspotter,E-Commerce|Web Tools,E-Commerce|Web Tools,failed,,2007-01-03,crunchbase
Revistronic,Content|Games,Content|Games,failed,,,crunchbase
Revit Technology Corporation,Construction|Design|Smart Building,Construction|Design|Smart Building,failed,,1997-01-01,crunchbase
RevoDeals,Curated Web|Music,Curated Web|Music,failed,,2010-03-01,crunchbase
Revolt Technology,Hardware + Software,Hardware + Software,failed,,,crunchbase
Rewardable,Crowdsourcing|Mobile,Crowdsourcing|Mobile,failed,,2012-11-01,crunchbase
Rewarding Visits,Advertising|Apps|Local|Loyalty Programs,Advertising|Apps|Local|Loyalty Programs,failed,,2012-10-04,crunchbase
Rewind Me,Finance|Mobile,Finance|Mobile,failed,,2011-12-01,crunchbase
Rexahn Pharmaceuticals,Biotechnology,Biotechnology,failed,,,crunchbase
RFinity,Mobile|Mobile Payments|NFC,Mobile|Mobile Payments|NFC,failed,,2008-10-01,crunchbase
Rhythm Networks,Services|Telecommunications,Services|Telecommunications,failed,,,crunchbase
Ridejoy,Bridging Online and Offline|Collaborative Consumption|Social Media|Transportation|Travel,Bridging Online and Offline|Collaborative Consumption|Social Media|Transportation|Travel,failed,,2011-01-01,crunchbase
RidePal,Career Management|Clean Technology|Human Resources|Public Transportation|Transportation,Career Management|Clean Technology|Human Resources|Public Transportation|Transportation,failed,,2011-02-17,crunchbase
Riglobe (Revolution Wireless Global),Internet|Services|Wireless,Internet|Services|Wireless,failed,,2015-02-10,crunchbase
RippleFunction,Advertising,Advertising,failed,,2010-03-01,crunchbase
River Ranch Fresh Foods,Food Processing|Organic Food,Food Processing|Organic Food,failed,,,crunchbase
RiverRock Energy,Energy|Energy Management|Oil & Gas,Energy|Energy Management|Oil & Gas,failed,,,crunchbase
Rivet APP,Application Platforms|Apps|Crowdfunding,Application Platforms|Apps|Crowdfunding,failed,,2015-05-01,crunchbase
RMDMgroup,Development Platforms|Entertainment|Technology,Development Platforms|Entertainment|Technology,failed,,,crunchbase
Roadhop,Public Transportation|Search|Social Media|Training|Transportation|Travel,Public Transportation|Search|Social Media|Training|Transportation|Travel,failed,,2010-09-21,crunchbase
Roam I.T.,Enterprise Software,Enterprise Software,failed,,1998-01-01,crunchbase
Roamz,Location Based Services|Photography|Private Social Networking|Reviews and Recommendations|Social Media|Software|Travel,Location Based Services|Photography|Private Social Networking|Reviews and Recommendations|Social Media|Software|Travel,failed,,2011-01-25,crunchbase
Robodrom,Entertainment|Internet|Robotics,Entertainment|Internet|Robotics,failed,,,crunchbase
RoboDynamics,Hardware + Software|Robotics,Hardware + Software|Robotics,failed,,2003-09-22,crunchbase
RoboEd,Education|Electronics|Robotics,Education|Electronics|Robotics,failed,,,crunchbase
Robotronica,Education|Machine Learning|Robotics,Education|Machine Learning|Robotics,failed,,,crunchbase
Rock City Apps,Social Media,Social Media,failed,,2011-01-01,crunchbase
Rocker Tools,Construction|Design|Manufacturing|Testing,Construction|Design|Manufacturing|Testing,failed,,,crunchbase
Rocket Network,Internet|Music|Wireless,Internet|Music|Wireless,failed,,,crunchbase
Rocky Mountain Ventures,Hardware + Software,Hardware + Software,failed,,2009-01-01,crunchbase
RODECO ICT Services,Hospitality|Online Reservations,Hospitality|Online Reservations,failed,,2004-08-26,crunchbase
Rollad,Ad Targeting|Advertising|Optimization,Ad Targeting|Advertising|Optimization,failed,,,crunchbase
RoomiePics,Games|Photo Sharing,Games|Photo Sharing,failed,,2010-01-01,crunchbase
Roozz.com,Cloud Computing|Games|Home & Garden|SaaS|Software,Cloud Computing|Games|Home & Garden|SaaS|Software,failed,,2010-10-01,crunchbase
Ropatec,Clean Technology,Clean Technology,failed,,2007-01-01,crunchbase
ROR Media,Apps|App Stores|Brand Marketing|Consulting|Entertainment|iPhone|Media|Mobile|Music|Sales and Marketing|Social Media,Apps|App Stores|Brand Marketing|Consulting|Entertainment|iPhone|Media|Mobile|Music|Sales and Marketing|Social Media,failed,,2008-01-01,crunchbase
Rosalind,Bioinformatics|Education|Internet,Bioinformatics|Education|Internet,failed,,,crunchbase
roundCorner,Colleges|CRM|Enterprise Software|Nonprofits,Colleges|CRM|Enterprise Software|Nonprofits,failed,,2009-09-01,crunchbase
RouterShare,File Sharing|Internet|Mobile|Networking|Wireless,File Sharing|Internet|Mobile|Networking|Wireless,failed,,2011-01-01,crunchbase
Row44,Web Hosting,Web Hosting,failed,,2004-01-01,crunchbase
Roxro Pharma,Biotechnology,Biotechnology,failed,,1999-01-01,crunchbase
Rozo Systems,Information Technology|SaaS|Services,Information Technology|SaaS|Services,failed,,2010-07-27,crunchbase
rPath,Cloud Computing|Enterprise Software|SaaS|Virtualization,Cloud Computing|Enterprise Software|SaaS|Virtualization,failed,,2005-04-01,crunchbase
RPO,Hardware + Software,Hardware + Software,failed,,2005-01-01,crunchbase
RSS Solutions,Information Technology|SaaS|Services,Information Technology|SaaS|Services,failed,,,crunchbase
RTN Stealth Software,Computers|Software|Trading,Computers|Software|Trading,failed,,,crunchbase
Ruby & Revolver,Brand Marketing|E-Commerce|Retail|Women,Brand Marketing|E-Commerce|Retail|Women,failed,,,crunchbase
Run The Campaign,Curated Web,Curated Web,failed,,2008-01-01,crunchbase
RunAlong,Curated Web|Events|Sports,Curated Web|Events|Sports,failed,,2008-12-17,crunchbase
Rundown,Content|Curated Web|Real Time|Social Media,Content|Curated Web|Real Time|Social Media,failed,,2011-01-01,crunchbase
Runivermag,E-Commerce|Marketplaces|Online Shopping,E-Commerce|Marketplaces|Online Shopping,failed,,2009-02-01,crunchbase
Ruralco Holdings,Agriculture|Business Services|Farming,Agriculture|Business Services|Farming,failed,,,crunchbase
Rush Points,Advertising|Coupons|Games|Incentives|Promotional,Advertising|Coupons|Games|Incentives|Promotional,failed,,2012-02-01,crunchbase
Russian Logistic Service,Consulting|Logistics|Transportation,Consulting|Logistics|Transportation,failed,,,crunchbase
Russian Quantum Center,Education|Innovation Management|New Technologies,Education|Innovation Management|New Technologies,failed,,,crunchbase
Russian Towers,Financial Services|Infrastructure|Investment Management|Telecommunications,Financial Services|Infrastructure|Investment Management|Telecommunications,failed,,,crunchbase
Rustic Crust,Food Processing|Organic Food,Food Processing|Organic Food,failed,,,crunchbase
Rustoria,Blogging Platforms|Media|Social Network Media,Blogging Platforms|Media|Social Network Media,failed,,,crunchbase
Rutt Ett,Digital Media,Digital Media,failed,,2004-01-01,crunchbase
Rwaq رواق,Education|Training,Education|Training,failed,,2013-09-15,crunchbase
RxCentric,Digital Media|Medical|Therapeutics,Digital Media|Medical|Therapeutics,failed,,,crunchbase
Ryma Technology Solutions,Business Services|Software,Business Services|Software,failed,,2000-06-01,crunchbase
S*Bio,Biotechnology,Biotechnology,failed,,2000-01-01,crunchbase
S2C Global Systems,Mining Technologies|Natural Resources|Renewable Energies,Mining Technologies|Natural Resources|Renewable Energies,failed,,2001-03-19,crunchbase
SA Ignite,Biotechnology,Biotechnology,failed,,2006-01-01,crunchbase
Saber Seven,Curated Web,Curated Web,failed,,,crunchbase
Sabeus Photonics,Communications Hardware|Manufacturing|Telecommunications,Communications Hardware|Manufacturing|Telecommunications,failed,,2013-05-15,crunchbase
Sabirmedical,Biotechnology|Health Diagnostics,Biotechnology|Health Diagnostics,failed,,,crunchbase
Saffron Technologies,Innovation Management|Software|Wearables,Innovation Management|Software|Wearables,failed,,2015-01-15,crunchbase
SailPlay,Curated Web,Curated Web,failed,,,crunchbase
Salad Labs,Celebrity|Entertainment|Games|Interest Graph|Media|Politics|Social Media|Social Network Media|Sports|Virtual Currency,Celebrity|Entertainment|Games|Interest Graph|Media|Politics|Social Media|Social Network Media|Sports|Virtual Currency,failed,,2011-01-11,crunchbase
Salespush.com,Automotive|CRM|Enterprise Software|SaaS,Automotive|CRM|Enterprise Software|SaaS,failed,,2008-04-01,crunchbase
Salestools.io,Business Development|Internet,Business Development|Internet,failed,,2014-10-01,crunchbase
Sally,Media|Messaging|Social Media,Media|Messaging|Social Media,failed,,2015-04-30,crunchbase
Salorix,Advertising,Advertising,failed,,2009-03-01,crunchbase
