name,description,category,status,failure_reason,year,source
ADSMAN.SSP,Advertising|Advertising Platforms|Mobile,Advertising|Advertising Platforms|Mobile,failed,,2015-05-01,crunchbase
Adtrade,Advertising,Advertising,failed,,2013-07-01,crunchbase
Advaliant,Advertising|Incentives|Internet|Performance Marketing|Sales and Marketing|Search,Advertising|Incentives|Internet|Performance Marketing|Sales and Marketing|Search,failed,,2013-04-16,crunchbase
Advanced Cardiac Therapeutics,Biotechnology,Biotechnology,failed,,2007-01-01,crunchbase
Advanced Electron Beams,Clean Technology,Clean Technology,failed,,2005-01-01,crunchbase
Advanced Marketing & Media Group,Advertising|Business Intelligence|Sales and Marketing|Software|Technology,Advertising|Business Intelligence|Sales and Marketing|Software|Technology,failed,,2007-02-01,crunchbase
Advanced Ophthalmic Pharma,Biotechnology,Biotechnology,failed,,2007-01-01,crunchbase
Advanced Power Projects,Clean Technology,Clean Technology,failed,,2009-01-01,crunchbase
Advebs,Enterprise Software|Internet Marketing,Enterprise Software|Internet Marketing,failed,,,crunchbase
AdvisorPort,Application Platforms|Consulting|Investment Management,Application Platforms|Consulting|Investment Management,failed,,,crunchbase
Advizzer,Curated Web|Mobile,Curated Web|Mobile,failed,,2010-04-18,crunchbase
Adwings,Advertising,Advertising,failed,,2011-01-01,crunchbase
AdWired,Advertising|Android|iPhone|Media|Mobile|Web Development|Windows Phone 7,Advertising|Android|iPhone|Media|Mobile|Web Development|Windows Phone 7,failed,,2009-09-01,crunchbase
AdYouNet,Advertising,Advertising,failed,,2006-01-01,crunchbase
Adzilla,Advertising,Advertising,failed,,,crunchbase
Aegis Surgical,Health Care,Health Care,failed,,,crunchbase
Aeristech Limited,Automotive|Electronics|Engineering Firms|Motors,Automotive|Electronics|Engineering Firms|Motors,failed,,2006-02-07,crunchbase
Aerob,Aerospace|Drones|Robotics,Aerospace|Drones|Robotics,failed,,,crunchbase
Aeromics,Biotechnology,Biotechnology,failed,,,crunchbase
Aeromot,Aerospace|Defense|Services,Aerospace|Defense|Services,failed,,1967-01-01,crunchbase
Aerovance,Biotechnology,Biotechnology,failed,,2004-01-01,crunchbase
AerovectRx,Health Care|Medical|Therapeutics,Health Care|Medical|Therapeutics,failed,,,crunchbase
Aether Ventures Inc.,Automotive|Innovation Engineering|Technology,Automotive|Innovation Engineering|Technology,failed,,2014-09-08,crunchbase
Affymax,Biotechnology,Biotechnology,failed,,,crunchbase
Africa Talent Management,Cloud Computing|Consulting|Recruiting,Cloud Computing|Consulting|Recruiting,failed,,2015-01-01,crunchbase
AGELON М,Business Services,Business Services,failed,,2012-01-01,crunchbase
Agent Panda,Communications Infrastructure|Online Reservations|Travel & Tourism,Communications Infrastructure|Online Reservations|Travel & Tourism,failed,,2013-01-01,crunchbase
AgentRave,Reviews and Recommendations,Reviews and Recommendations,failed,,2015-07-15,crunchbase
Agiftidea.com,Gift Card|Social Media,Gift Card|Social Media,failed,,2012-01-01,crunchbase
AGILE customer insight,Analytics|Banking|Big Data|Retail|SaaS|Sales and Marketing|Software,Analytics|Banking|Big Data|Retail|SaaS|Sales and Marketing|Software,failed,,2011-11-01,crunchbase
"Agillion, Inc.",SaaS|Services,SaaS|Services,failed,,1998-01-01,crunchbase
Agooz,Delivery|E-Commerce|Fashion,Delivery|E-Commerce|Fashion,failed,,2014-11-20,crunchbase
Agoura Technologies,Nanotechnology,Nanotechnology,failed,,,crunchbase
agri.capital,Clean Technology,Clean Technology,failed,,2004-01-01,crunchbase
AgriMetis,Agriculture|Development Platforms|Technology,Agriculture|Development Platforms|Technology,failed,,2014-01-01,crunchbase
Agroptima,Farming|Software,Farming|Software,failed,,2014-08-01,crunchbase
Ahead,Advertising|Creative|Media|Software|Visualization|Web CMS|Web Development,Advertising|Creative|Media|Software|Visualization|Web CMS|Web Development,failed,,2007-10-01,crunchbase
AI Exchange,Finance|FinTech,Finance|FinTech,failed,,,crunchbase
Air CleanNSheen,Hospitality|Service Providers|Travel,Hospitality|Service Providers|Travel,failed,,,crunchbase
Air Semiconductor,Gps|Location Based Services|Semiconductors,Gps|Location Based Services|Semiconductors,failed,,2006-05-15,crunchbase
AirDroids,Hardware + Software,Hardware + Software,failed,,2013-11-01,crunchbase
Airship Ventures,Public Transportation,Public Transportation,failed,,2007-01-01,crunchbase
Aiwip Limited,Advertising|Printing|University Students,Advertising|Printing|University Students,failed,,2014-02-24,crunchbase
AdKeeper,Advertising,Advertising,failed,,2010-01-01,crunchbase
aka-aki networks,Location Based Services|Mobile|Networking|Social Media,Location Based Services|Mobile|Networking|Social Media,failed,,2007-01-01,crunchbase
Aki,Advertising Platforms|Mobile|Mobile Advertising,Advertising Platforms|Mobile|Mobile Advertising,failed,,2015-05-01,crunchbase
Akimbo,Games|Personal Branding|Recruiting,Games|Personal Branding|Recruiting,failed,,,crunchbase
Aladdin Media Holdings,Innovation Management|Investment Management|Media|Venture Capital,Innovation Management|Investment Management|Media|Venture Capital,failed,,,crunchbase
Alamak Espana Trade,Mining Technologies|Property Management|Recycling,Mining Technologies|Property Management|Recycling,failed,,1967-05-05,crunchbase
Alba Communications,Entertainment|Kids|Television|Video,Entertainment|Kids|Television|Video,failed,,,crunchbase
Aldento,Fitness|Health and Wellness|Health Care,Fitness|Health and Wellness|Health Care,failed,,,crunchbase
Aldexa Therapeutics,Biotechnology,Biotechnology,failed,,2004-01-01,crunchbase
Alekto,Credit|Finance,Credit|Finance,failed,,2012-07-01,crunchbase
AlephCloud Systems,Enterprise Software,Enterprise Software,failed,,2011-01-01,crunchbase
Alfa Leisure,Manufacturing|Motors|Recreation,Manufacturing|Motors|Recreation,failed,,1969-01-01,crunchbase
Alignment Healthcare,Health Care,Health Care,failed,,2013-01-01,crunchbase
AlikeAudience,Consumer Behavior|Mobile Advertising|Predictive Analytics,Consumer Behavior|Mobile Advertising|Predictive Analytics,failed,,2015-02-01,crunchbase
alikolo,E-Commerce|Marketplaces|Online Shopping|Retail,E-Commerce|Marketplaces|Online Shopping|Retail,failed,,2014-08-07,crunchbase
All Together Now,Enterprise Software|SaaS|Web Development,Enterprise Software|SaaS|Web Development,failed,,2011-06-01,crunchbase
Allegro Networks,Application Platforms|Internet|Services,Application Platforms|Internet|Services,failed,,2000-01-01,crunchbase
AllFreed,Apps|E-Commerce|Retail,Apps|E-Commerce|Retail,failed,,,crunchbase
Allied Pacific Sports Network,Internet|Mobile|Sports|Video Streaming,Internet|Mobile|Sports|Video Streaming,failed,,2009-01-01,crunchbase
Alloka,Advertising|Business Services,Advertising|Business Services,failed,,2010-01-01,crunchbase
Allone,Android|Application Platforms|Security,Android|Application Platforms|Security,failed,,2015-03-15,crunchbase
Alloptic,Public Relations,Public Relations,failed,,1999-01-01,crunchbase
AllPeers,Curated Web,Curated Web,failed,,2004-08-01,crunchbase
Alluring Logic,iPad|Mobile|Point of Sale|Retail|SaaS|Software|Web Development|Web Tools,iPad|Mobile|Point of Sale|Retail|SaaS|Software|Web Development|Web Tools,failed,,2009-08-22,crunchbase
Allvoices,Journalism|Media|News,Journalism|Media|News,failed,,2008-02-01,crunchbase
allyve,Facebook Applications|Search|Social Media|Software|Twitter Applications,Facebook Applications|Search|Social Media|Software|Twitter Applications,failed,,2007-09-01,crunchbase
Alpha Smart Systems,Artificial Intelligence|Information Services|Information Technology|Robotics,Artificial Intelligence|Information Services|Information Technology|Robotics,failed,,2011-01-01,crunchbase
AlphaStripe,Content|DOD/Military|Networking|Social Media,Content|DOD/Military|Networking|Social Media,failed,,2012-05-02,crunchbase
Alsbridge,BPO Services|Consulting|Outsourcing,BPO Services|Consulting|Outsourcing,failed,,2003-01-01,crunchbase
Alta Wind Energy Center,Clean Technology,Clean Technology,failed,,,crunchbase
Altair Therapeutics,Biotechnology,Biotechnology,failed,,,crunchbase
AltaVitas,Health and Wellness,Health and Wellness,failed,,2011-01-01,crunchbase
Alternative Green Technologies,Clean Technology,Clean Technology,failed,,1987-01-01,crunchbase
Altheos,Biotechnology,Biotechnology,failed,,,crunchbase
AltraBiofuels,Clean Technology,Clean Technology,failed,,,crunchbase
Altura Medical,Health Care,Health Care,failed,,2008-01-01,crunchbase
AlumaSki - Mackinnon Marine Technologies,Boating Industry|Manufacturing,Boating Industry|Manufacturing,failed,,2014-01-15,crunchbase
Alumnize,Alumni|Colleges|Networking|Social Media,Alumni|Colleges|Networking|Social Media,failed,,,crunchbase
Alveolus,Medical Devices,Medical Devices,failed,,,crunchbase
Alytics,Advertising,Advertising,failed,,2012-07-01,crunchbase
Am-Beo,Industrial|Services|Telecommunications,Industrial|Services|Telecommunications,failed,,,crunchbase
Amadesa,Analytics|Optimization|Personalization|Reviews and Recommendations|Software|Testing,Analytics|Optimization|Personalization|Reviews and Recommendations|Software|Testing,failed,,2005-05-15,crunchbase
American Apparel,Fashion|Manufacturing|Retail,Fashion|Manufacturing|Retail,failed,,1998-01-01,crunchbase
American Halal Company,Hospitality,Hospitality,failed,,2009-01-01,crunchbase
American Health,Dietary Supplements|Health Care|Medical,Dietary Supplements|Health Care|Medical,failed,,2015-01-01,crunchbase
American Hometec,Clean Technology,Clean Technology,failed,,,crunchbase
American Life Media,Curated Web,Curated Web,failed,,2006-06-01,crunchbase
American Restaurant Concepts,Hospitality,Hospitality,failed,,2000-01-01,crunchbase
Targazyme,Biotechnology,Biotechnology,failed,,2005-01-01,crunchbase
Amistad Energy Partners,Energy|Oil and Gas|Startups,Energy|Oil and Gas|Startups,failed,,,crunchbase
AMOtech,Apps|Mobile|Startups,Apps|Mobile|Startups,failed,,2010-06-21,crunchbase
AMP Robotics,Information Technology|Intelligent Systems|Robotics,Information Technology|Intelligent Systems|Robotics,failed,,2015-01-01,crunchbase
AmpIdea,Babies|Curated Web|Finance|FinTech|Parenting,Babies|Curated Web|Finance|FinTech|Parenting,failed,,2008-07-04,crunchbase
AmpliMed Corporation,Biotechnology,Biotechnology,failed,,1989-01-01,crunchbase
amprice,Curated Web,Curated Web,failed,,2005-05-25,crunchbase
Amulet Pharmaceuticals,Biotechnology,Biotechnology,failed,,,crunchbase
Anadigm,Semiconductors|Technology,Semiconductors|Technology,failed,,,crunchbase
Anadys,Biotechnology,Biotechnology,failed,,,crunchbase
AnAerobics,Waste Management,Waste Management,failed,,,crunchbase
Anagear,Internet of Things|Semiconductors,Internet of Things|Semiconductors,failed,,2009-02-09,crunchbase
Anagran,Web Hosting,Web Hosting,failed,,2004-01-01,crunchbase
Anaphore,Biotechnology,Biotechnology,failed,,2008-01-01,crunchbase
Anavex,Biotechnology,Biotechnology,failed,,,crunchbase
Anchor Intelligence,Advertising,Advertising,failed,,2007-01-01,crunchbase
Anchovi Labs,Photography,Photography,failed,,2011-11-01,crunchbase
Andigilog,Semiconductors,Semiconductors,failed,,1996-01-01,crunchbase
Andoayudando.com,Corporate Wellness|Internet|Social Commerce,Corporate Wellness|Internet|Social Commerce,failed,,,crunchbase
AndroJek,Biotechnology,Biotechnology,failed,,2008-06-01,crunchbase
Angel Baby,E-Commerce|Fashion|Kids,E-Commerce|Fashion|Kids,failed,,,crunchbase
Angiolink Corporation,Health Care|Innovation Management|Medical Devices,Health Care|Innovation Management|Medical Devices,failed,,1999-01-01,crunchbase
Angmi,Analytics|Internet|Services,Analytics|Internet|Services,failed,,2014-06-01,crunchbase
AniMeals,Pets|Service Industries|Social Commerce,Pets|Service Industries|Social Commerce,failed,,,crunchbase
Anokion SA,Biotechnology,Biotechnology,failed,,,crunchbase
Anonymous You,Identity|Networking|Opinions|Private Social Networking|Social Media|Social Network Media,Identity|Networking|Opinions|Private Social Networking|Social Media|Social Network Media,failed,,2010-04-19,crunchbase
AnovaStorm,Enterprise Software,Enterprise Software,failed,,,crunchbase
